               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10706,               0.019,                   0,           0.0025074,             0.03646,          0.00090461,          0.00019302,            0.098153,            0.012977,                   0,             0.00082,             0.00082,             0.09262
                   1,            0.088848,            0.018637,                   0,            0.063608,            0.062301,             0.01408,           0.0032578,            0.083087,            0.012838,                   0,             0.00165,             0.00165,             0.08515
                   2,            0.077771,            0.019161,                   0,             0.11561,             0.16354,            0.049355,            0.012994,            0.071011,            0.012847,                   0,           0.0024798,           0.0024798,             0.07768
                   3,            0.071721,            0.017678,                   0,             0.35128,             0.24071,             0.19773,            0.059394,            0.064434,            0.011148,                   0,           0.0033093,           0.0033093,            0.070209
                   4,            0.068213,            0.016246,                   0,             0.38458,             0.34066,              0.2675,            0.088114,            0.060076,            0.010856,                   0,           0.0041385,           0.0041385,            0.062739
                   5,             0.06563,            0.015018,                   0,             0.37851,             0.30915,             0.24272,            0.071702,            0.063967,            0.010155,                   0,           0.0049673,           0.0049673,            0.055267
                   6,            0.065404,            0.014864,                   0,             0.46652,             0.42655,             0.35734,             0.11532,            0.057378,           0.0092865,                   0,           0.0057954,           0.0057954,            0.047795
                   7,            0.062719,            0.014727,                   0,             0.51006,             0.36637,             0.35177,             0.12132,            0.056907,           0.0095059,                   0,           0.0066229,           0.0066229,            0.040323
                   8,            0.061639,            0.014189,                   0,             0.45594,             0.34973,             0.32594,             0.10123,            0.061091,            0.010015,                   0,           0.0074495,           0.0074495,             0.03285
                   9,            0.059839,            0.013893,                   0,              0.4903,              0.4131,             0.38525,             0.13844,            0.056202,            0.009326,                   0,           0.0082753,           0.0082753,            0.025375
                  10,            0.059628,            0.014095,                   0,             0.55379,             0.35611,              0.3539,             0.11759,            0.056639,           0.0098912,                   0,              0.0091,              0.0091,              0.0179
